Тип товара,Бренд,Наименование,Линейка,Оперативная память (ГБ),Постоянная память (ГБ)
Смартфон,Apple,"Apple,""iPhone"",16,128GB,Black,(MYE73)",Apple iPhone 16,8,128
Смартфон,Apple,Apple iPhone 17 256GB Black (MG6J4),Apple iPhone 17,8,256
Смартфон,Apple,Apple iPhone 17 256GB eSIM Black (MG464),Apple iPhone 17 eSIM,8,256
Смартфон,Apple,"Apple iPhone Air 256GB Space Black (MG314, MG184, MG2L4)",Apple iPhone Air,12,256
Смартфон,Google,Google Pixel 9 12/128GB Obsidian,Google Pixel 9,12,128
Смартфон,Motorola,Motorola Edge 60 Neo 12/256GB Grisaille (PBA80009),Motorola Edge 60 Neo,12,256
Смартфон,Motorola,Motorola Moto G86 Power 12/256GB Spellbound (PB8X0046),Motorola Moto G86 Power,12,256
Смартфон,Motorola,Motorola Signature 16/512GB Martini Olive,Motorola Signature,16,512
Смартфон,OnePlus,OnePlus 13 12/256GB Black Eclipse,OnePlus 13,12,256
Смартфон,OnePlus,OnePlus 15 12/256GB Black,OnePlus 15,12,256
Смартфон,OnePlus,OnePlus 15 12/256GB Sand Gold,OnePlus 15,12,256
Смартфон,OnePlus,OnePlus 15 16/512GB Black,OnePlus 15,16,512
Смартфон,OnePlus,OnePlus 15 16/512GB Sand Gold,OnePlus 15,16,512
Смартфон,OnePlus,OnePlus 15R 12/256GB Charcoal Black,OnePlus 15R,12,256
Смартфон,POCO,POCO F8 Pro 12/256GB Black,POCO F8 Pro,12,256
Смартфон,Samsung,Samsung Galaxy A26 5G 8/256GB Black (SM-A266BZKC),Samsung Galaxy A26 5G,8,256
Смартфон,Samsung,Samsung Galaxy A36 5G 8/256GB Awesome Black (SM-A366BZKG),Samsung Galaxy A36 5G,8,256
Смартфон,Samsung,Samsung Galaxy A56 5G 8/256GB Awesome Graphite (SM-A566BZKC),Samsung Galaxy A56 5G,8,256
Смартфон,Samsung,Samsung Galaxy S24 Ultra 12/256GB Titanium Black (SM-S928BZKG),Samsung Galaxy S24 Ultra,12,256
Смартфон,Samsung,Samsung Galaxy S25 12/256GB Navy (SM-S931BDBG),Samsung Galaxy S25,12,256
Смартфон,Samsung,Samsung Galaxy S25 FE 8/256GB Jetblack (SM-S731BZKG),Samsung Galaxy S25 FE,8,256
Смартфон,Samsung,Samsung Galaxy S25 Ultra 12/256GB Titanium Black (SM-S938BZKD),Samsung Galaxy S25 Ultra,12,256
Смартфон,Samsung,Samsung Galaxy S25 Ultra 12/512GB Titanium Black (SM-S938BZKG),Samsung Galaxy S25 Ultra,12,512
Смартфон,Samsung,Samsung Galaxy S25+ 12/256GB Navy (SM-S936BDBD),Samsung Galaxy S25+,12,256
Смартфон,Samsung,Samsung Galaxy S26 Ultra 12/512GB Black (SM-S948BZKG),Samsung Galaxy S26 Ultra,12,512
Смартфон,Xiaomi,Xiaomi 17 12/256GB Black,Xiaomi 17,12,256
Смартфон,Xiaomi,Xiaomi 17 Ultra 16/512GB Black,Xiaomi 17 Ultra,16,512
Смартфон,Xiaomi,Xiaomi Redmi 15 4G 8/256GB Midnight Black,Xiaomi Redmi 15 4G,8,256
Смартфон,Xiaomi,Xiaomi Redmi Note 14 8/256GB Midnight Black,Xiaomi Redmi Note 14,8,256
